DateTime;UnitId;Port;Value
2015-03-10 00:47:24;357566040024266;Connection;1
2015-03-10 00:55:47;357566000058056;Connection;0
2015-03-10 01:53:03;357566000058106;Connection;0
2015-03-10 02:51:21;357566000058064;Connection;0
2015-03-10 04:45:39;357566040005661;Connection;1
2015-03-10 04:46:20;357566040005687;Connection;1
2015-03-10 06:10:39;357566040005620;Connection;1
2015-03-10 06:42:48;357566040005661;Connection;0
2015-03-10 06:43:19;357566040005661;Connection;1
2015-03-10 06:47:02;357566040005661;Connection;0
2015-03-10 06:48:20;357566040005661;Connection;1
2015-03-10 06:50:36;357566040005661;Connection;0
2015-03-10 06:51:13;357566040005661;Connection;1
2015-03-10 06:54:12;357566040005661;Connection;0
2015-03-10 06:54:47;357566040005661;Connection;1
2015-03-10 06:55:37;357566040005661;Connection;0
2015-03-10 06:56:13;357566040005661;Connection;1
2015-03-10 06:57:47;357566040005661;Connection;0
2015-03-10 06:58:22;357566040005661;Connection;1
2015-03-10 07:02:47;357566040005661;Connection;0
2015-03-10 07:03:23;357566040005661;Connection;1
2015-03-10 07:04:13;357566040005661;Connection;0
2015-03-10 07:06:58;357566040005661;Connection;1
2015-03-10 07:07:31;357566040005620;Connection;0
2015-03-10 07:08:07;357566040005620;Connection;1
2015-03-10 07:10:41;357566040005661;Connection;0
2015-03-10 07:11:53;14100071;Connection;1
2015-03-10 07:16:34;357566000058106;Connection;1
2015-03-10 07:17:12;357566040005661;Connection;1
2015-03-10 07:18:11;14010206;Connection;1
2015-03-10 07:19:28;14010206;Connection;0
2015-03-10 07:19:31;14100064;Connection;1
2015-03-10 07:19:31;14010206;Connection;1
2015-03-10 07:20:44;357566040005661;Connection;0
2015-03-10 07:21:13;14010206;Connection;0
2015-03-10 07:21:18;357566040005661;Connection;1
2015-03-10 07:22:00;14010206;Connection;1
2015-03-10 07:22:22;14100042;Connection;1
2015-03-10 07:25:06;357566040005661;Connection;0
2015-03-10 07:25:35;357566040005661;Connection;1
2015-03-10 07:27:09;357566040005661;Connection;0
2015-03-10 07:27:29;14010206;Connection;0
2015-03-10 07:27:47;14010206;Connection;1
2015-03-10 07:27:59;357566040005661;Connection;1
2015-03-10 07:28:31;14120026;Connection;1
2015-03-10 07:29:45;357566040005620;Connection;0
2015-03-10 07:31:03;357566040005620;Connection;1
2015-03-10 07:32:11;357566040005661;Connection;0
2015-03-10 07:32:13;14010206;Connection;0
2015-03-10 07:32:46;357566040005661;Connection;1
2015-03-10 07:32:50;357566040005687;Connection;0
2015-03-10 07:33:13;14010206;Connection;1
2015-03-10 07:33:26;357566040005687;Connection;1
2015-03-10 07:36:28;357566040005661;Connection;0
2015-03-10 07:40:57;14010206;Connection;0
2015-03-10 07:41:00;14010206;Connection;1
2015-03-10 07:41:39;14010206;Connection;0
2015-03-10 07:42:05;357566040005661;Connection;1
2015-03-10 07:42:23;14010206;Connection;1
2015-03-10 07:43:12;14010206;Connection;0
2015-03-10 07:43:14;14010206;Connection;1
2015-03-10 07:43:38;357566040005661;Connection;0
2015-03-10 07:46:19;14010206;Connection;0
2015-03-10 07:46:20;14010206;Connection;1
2015-03-10 07:48:30;14010206;Connection;0
2015-03-10 07:48:33;14120027;Connection;1
2015-03-10 07:48:35;14010206;Connection;1
2015-03-10 07:49:16;14010206;Connection;0
2015-03-10 07:49:18;14010206;Connection;1
2015-03-10 07:51:17;14010206;Connection;0
2015-03-10 07:51:19;14010206;Connection;1
2015-03-10 07:52:08;14010206;Connection;0
2015-03-10 07:52:12;14010206;Connection;1
2015-03-10 07:58:34;14100042;Connection;0
2015-03-10 07:58:43;14100042;Connection;1
2015-03-10 07:59:48;14010206;Connection;0
2015-03-10 07:59:50;14010206;Connection;1
2015-03-10 08:00:01;14100042;Connection;0
2015-03-10 08:00:04;14100042;Connection;1
2015-03-10 08:00:18;14100042;Connection;0
2015-03-10 08:00:18;14100042;Connection;1
2015-03-10 08:02:14;357566040005687;Connection;0
2015-03-10 08:02:49;357566040005687;Connection;1
2015-03-10 08:07:15;14010206;Connection;0
2015-03-10 08:07:22;14010206;Connection;1
2015-03-10 08:07:40;14010206;Connection;0
2015-03-10 08:07:42;14010206;Connection;1
2015-03-10 08:20:02;14100071;Connection;0
2015-03-10 08:23:58;357566000058072;Connection;1
2015-03-10 08:36:19;14010206;Connection;0
2015-03-10 08:36:23;14010206;Connection;1
2015-03-10 08:38:28;14120027;Connection;0
2015-03-10 08:38:54;357566040005661;Connection;1
2015-03-10 08:43:19;357566040005661;Connection;0
2015-03-10 08:43:56;357566040005661;Connection;1
2015-03-10 08:44:38;14100015;Connection;1
2015-03-10 08:47:53;14010206;Connection;0
2015-03-10 08:48:01;14010206;Connection;1
2015-03-10 08:50:34;14010206;Connection;0
2015-03-10 08:50:38;14010206;Connection;1
2015-03-10 08:53:43;14010206;Connection;0
2015-03-10 08:53:46;14010206;Connection;1
2015-03-10 08:55:39;14100042;Connection;0
2015-03-10 08:55:39;14100042;Connection;1
2015-03-10 08:57:49;14010206;Connection;0
2015-03-10 08:57:54;14010206;Connection;1
2015-03-10 08:57:57;357566000058114;Connection;0
2015-03-10 08:59:17;14010206;Connection;0
2015-03-10 08:59:22;14010206;Connection;1
2015-03-10 08:59:40;357566000058114;Connection;1
2015-03-10 08:59:48;14010206;Connection;0
2015-03-10 08:59:51;14010206;Connection;1
2015-03-10 09:02:24;14010206;Connection;0
2015-03-10 09:02:27;14010206;Connection;1
2015-03-10 09:09:15;357566000058072;Connection;0
2015-03-10 09:09:50;357566000058072;Connection;1
2015-03-10 09:11:46;357566040005687;Connection;0
2015-03-10 09:11:47;14120026;Connection;0
2015-03-10 09:11:59;14120026;Connection;1
2015-03-10 09:12:17;14120026;Connection;0
2015-03-10 09:12:28;14120026;Connection;1
2015-03-10 09:16:51;14100042;Connection;0
2015-03-10 09:16:56;14100042;Connection;1
2015-03-10 09:17:24;14100042;Connection;0
2015-03-10 09:17:26;14100042;Connection;1
2015-03-10 09:27:13;14100064;Connection;0
2015-03-10 09:28:51;357566040005687;Connection;1
2015-03-10 09:32:34;14010206;Connection;0
2015-03-10 09:39:56;14100042;Connection;0
2015-03-10 09:40:21;14100015;Connection;0
2015-03-10 09:42:56;357566000058072;Connection;0
2015-03-10 09:43:01;14120026;Connection;0
2015-03-10 09:43:09;14120026;Connection;1
2015-03-10 09:43:31;357566000058072;Connection;1
2015-03-10 10:08:17;14120026;Connection;0
2015-03-10 10:08:23;357566040005687;Connection;0
2015-03-10 10:08:42;14120026;Connection;1
2015-03-10 10:09:01;357566040005687;Connection;1
2015-03-10 10:10:35;357566040005687;Connection;0
2015-03-10 10:11:08;357566040005687;Connection;1
2015-03-10 10:11:59;357566040005687;Connection;0
2015-03-10 10:12:33;357566040005687;Connection;1
2015-03-10 10:14:50;357566040005687;Connection;0
2015-03-10 10:15:28;357566040005687;Connection;1
2015-03-10 10:15:39;14120026;Connection;0
2015-03-10 10:15:39;14120026;Connection;1
2015-03-10 10:16:16;14120026;Connection;0
